#         t          x          y          z         vx         vy         vz
   7642.857     64.170    209.310     30.250    102.180    -29.720    153.230
   7714.286     71.590    205.980     41.480    102.600    -64.380    161.560
   7785.714     78.990    200.140     53.100    105.380   -101.070    163.990
   7857.143     86.380    191.570     64.730    101.890   -139.700    161.950
   7928.571     93.630    179.900     76.160     97.520   -186.360    155.870
   8000.000    100.340    165.020     86.930     89.600   -231.870    143.540
   8071.429    106.120    146.580     96.290     70.670   -283.500    116.230
   8142.857    110.390    124.740    103.040     45.920   -328.090     67.370
   8214.286    112.420    100.300    105.380      8.830   -351.920     -6.090
   8285.714    111.470     75.620    101.990    -35.750   -328.460    -88.700
   8357.143    107.560     54.310     93.260    -70.530   -264.010   -150.340
   8428.571    101.830     38.210     81.380    -85.160   -187.720   -180.440
   8500.000     95.610     27.470     68.370    -86.810   -115.520   -183.030
   8571.429     89.530     21.640     55.660    -82.220    -50.740   -173.220
   8642.857     84.000     19.670     43.910    -75.300     -3.330   -152.280
   8714.286     79.250     20.900     33.970    -58.080     36.490   -125.490
   8785.714     75.720     24.790     26.050    -40.740     69.570    -97.280
   8857.143     73.570     30.730     20.230    -22.380     95.170    -65.910
   8928.571     72.720     38.320     16.800     -2.410    115.850    -31.350
   9000.000     73.180     47.160     15.800     17.360    131.290      4.060
   9071.429     75.160     56.900     17.340     38.600    140.850     41.210
   9142.857     78.750     67.190     21.740     61.940    144.940     83.970
   9214.286     83.940     77.400     29.280     85.360    140.400    127.230
   9285.714     91.120     87.040     40.080    115.440    128.000    176.260
   9357.143    100.690     95.160     54.580    149.720     98.100    229.310
   9428.571    115.760     94.930     76.710    183.510     37.130    280.300
   9500.000    126.650     99.730     94.200    208.230    -55.330    310.120
   9571.429    141.770     91.690    115.900    206.670   -173.480    287.010
   9642.857    155.360     76.260    133.770    166.530   -244.030    206.530
   9714.286    165.550     57.950    145.530    119.050   -259.140    125.130
   9785.714    172.320     39.890    151.960     76.290   -242.360     60.000
   9857.143    176.590     23.640    154.490     43.350   -213.510     11.330
   9928.571    178.620      9.660    153.950     14.920   -177.380    -24.020
  10000.000    178.920     -1.640    150.930     -7.120   -138.850    -55.470
  10071.429    177.650    -10.140    145.850    -29.730    -98.990    -85.780
  10142.857    174.950    -15.700    139.220    -46.310    -52.980   -103.050
  10214.286    170.930    -17.770    131.220    -61.920     -1.680   -118.800
  10285.714    162.790     -3.050    120.230    -73.560     54.120   -124.230
  10357.143    160.100     -9.750    113.500    -82.710    119.030   -123.290
  10428.571    154.060      1.470    105.250    -82.810    195.790   -104.040
  10500.000    148.750     18.250     99.550    -59.450    273.910    -49.730
  10571.429    146.340     39.890     99.050     -2.110    316.880     42.690
  10642.857    148.750     61.500    105.690     69.310    276.010    136.550
  10714.286    155.400     78.280    117.230    112.120    191.540    180.430
  10785.714    164.460     89.010    130.670    135.080    108.400    192.310
  10857.143    174.390     94.190    144.330    142.870     38.590    187.500
  10928.571    184.550     94.780    157.040    137.280    -23.870    169.890
  11000.000    194.190     91.020    168.310    131.880    -79.530    145.140
  11071.429    203.030     83.660    177.570    117.650   -124.910    113.040
  11142.857    210.650     73.190    184.360     94.830   -166.750     76.820
  11214.286    216.430     60.120    188.350     66.760   -198.670     34.810
  11285.714    219.910     45.050    188.970     31.270   -224.130    -15.970
  11357.143    220.650     28.670    185.640    -11.890   -234.220    -78.460
  11428.571    217.750     12.260    177.590    -69.640   -217.540   -146.670
